species,lon,lat,n,
1,Campomanesia adamantium,-51.126944,-30.0525,1
2,Campomanesia adamantium,-56.01667,-25.45,1
3,Campomanesia adamantium,-55,-25.5,1
4,Campomanesia adamantium,-51.45806,-25.39556,1
5,Campomanesia adamantium,-51.177222,-25.746389,1
6,Campomanesia adamantium,-49.83333,-25.41666,1
7,Campomanesia adamantium,-49.236111,-25.545,1
8,Campomanesia adamantium,-57.15,-25.3,1
9,Campomanesia adamantium,-56,-25.16667,1
10,Campomanesia adamantium,-54.58333,-25.3,1
11,Campomanesia adamantium,-51.487728,-25.38507,1
12,Campomanesia adamantium,-50.254167,-24.578944,1
13,Campomanesia adamantium,-50.014667,-24.469944,1
14,Campomanesia adamantium,-49.2333,-25.2833,1
15,Campomanesia adamantium,-57.43333,-23.43333,1
16,Campomanesia adamantium,-55.45,-23.9,1
17,Campomanesia adamantium,-54.566667,-23.733333,1
18,Campomanesia adamantium,-52.60472,-23.66333,1
19,Campomanesia adamantium,-50.975556,-23.540833,1
20,Campomanesia adamantium,-49.660556,-24.319167,1
21,Campomanesia adamantium,-49.068333,-24.076389,1
22,Campomanesia adamantium,-47.9653,-24.07,1
23,Campomanesia adamantium,-46.820441,-23.789069,1
24,Campomanesia adamantium,-58.1689,-23.2025,1
25,Campomanesia adamantium,-57,-23,1
26,Campomanesia adamantium,-56.03333,-22.63333,1
27,Campomanesia adamantium,-55.2167,-23.0833,1
28,Campomanesia adamantium,-51.3148,-22.4778,1
29,Campomanesia adamantium,-50.5832,-23.3227,1
30,Campomanesia adamantium,-50.0583,-22.5755,1
31,Campomanesia adamantium,-49.0459,-22.6065,1
32,Campomanesia adamantium,-47.983889,-22.570556,1
33,Campomanesia adamantium,-47.0028,-23.1468,1
34,Campomanesia adamantium,-45.6195,-23.0661,1
35,Campomanesia adamantium,-57.56667,-22.28333,1
36,Campomanesia adamantium,-56.525886,-22.082509,1
37,Campomanesia adamantium,-56.2,-22.38333,1
38,Campomanesia adamantium,-54.65,-21.85,1
39,Campomanesia adamantium,-53.433333,-22.15,1
40,Campomanesia adamantium,-50.9788,-22.3714,1
41,Campomanesia adamantium,-49.9451,-21.4,1
42,Campomanesia adamantium,-48.4672,-22.0216,1
43,Campomanesia adamantium,-48.0649,-22.0461,1
44,Campomanesia adamantium,-47.1725,-22.3303,1
45,Campomanesia adamantium,-44.343972,-21.589944,1
46,Campomanesia adamantium,-56.765556,-21.2125,1
47,Campomanesia adamantium,-55.8,-20.5167,1
48,Campomanesia adamantium,-54.616389,-20.416111,1
49,Campomanesia adamantium,-53.433333,-20.45,1
50,Campomanesia adamantium,-53.130278,-21.105833,1
51,Campomanesia adamantium,-51.787777,-21.030833,1
52,Campomanesia adamantium,-49.9288,-21.3682,1
53,Campomanesia adamantium,-48.8699,-20.4859,1
54,Campomanesia adamantium,-43.548611,-20.805278,1
55,Campomanesia adamantium,-56.440555,-20.357778,1
56,Campomanesia adamantium,-55.733333,-20.038611,1
57,Campomanesia adamantium,-55.243055,-19.774722,1
58,Campomanesia adamantium,-53.668056,-20.015278,1
59,Campomanesia adamantium,-51.666667,-20.25,1
60,Campomanesia adamantium,-48.7095,-20.2457,1
61,Campomanesia adamantium,-47.4381,-20.0858,1
62,Campomanesia adamantium,-47.018889,-20.102222,1
63,Campomanesia adamantium,-44.34982,-20.120416,1
64,Campomanesia adamantium,-43.93778,-19.92083,1
65,Campomanesia adamantium,-43.231869,-19.605978,1
66,Campomanesia adamantium,-55.25,-18.7,1
67,Campomanesia adamantium,-54.483333,-19.219167,1
68,Campomanesia adamantium,-54.083333,-19.1,1
69,Campomanesia adamantium,-52.573889,-18.428333,1
