,spp,lon,lat
1,t_viridis,-44.72,-23.22
2,t_viridis,-46.731648,-22.944172
3,t_viridis,-53.8018,-26.5723
4,t_viridis,-54.52,-25.87
5,t_viridis,-55.932,-9.5981
6,t_viridis,-40.1001,-14.3834
7,t_viridis,-46.5234,-20.309
8,t_viridis,-63.78,-18.82
9,t_viridis,-55.769785,-27.178924
10,t_viridis,-48.1,-24.53
11,t_viridis,-54.6,-25.9
12,t_viridis,-51.4833,-21.1
13,t_viridis,-42.37,-20.08
14,t_viridis,-48.9,-13.62
15,t_viridis,-67.528333,-14.442222
16,t_viridis,-43.35,-22.91667
17,t_viridis,-49.5,-20.583333
18,t_viridis,-55.533333,-23.266667
19,t_viridis,-48.45,-23.716667
20,t_viridis,-55.896339,-23.404383
21,t_viridis,-54.75,-18.5
22,t_viridis,-55.75,-15.416667
23,t_viridis,-49.033333,-14.583333
24,t_viridis,-49.5,-16.366667
25,t_viridis,-54.033203,-12.499641
26,t_viridis,-63.661437,-17.459607
27,t_viridis,-59.666667,-5.283333
28,t_viridis,-40.295661,-20.285247
29,t_viridis,-45.412502,-23.761309
30,t_viridis,-55,-10
31,t_viridis,-44.15,-18.8
32,t_viridis,-41.516602,-13.27567
33,e_cristata,-49.320457,-16.837015
34,e_cristata,-43.82685,-20.243483
35,e_cristata,-65.775295,-11.199315
36,e_cristata,-39.288376,-3.3599
37,e_cristata,-46.84389,-12.890314
38,e_cristata,-48.262478,-10.227066
39,e_cristata,-47.361202,-21.01623
40,e_cristata,-41.565117,-12.648389
41,e_cristata,-61.588326,4.471353
42,e_cristata,-72.54213,-12.997607
43,e_cristata,-43.30401,-16.62906
44,e_cristata,-44.15897,-12.528284
45,e_cristata,-72.42253,-0.630852
46,e_cristata,-67.88663,3.878776
47,e_cristata,-52.632675,5.041285
48,e_cristata,-39.548965,-7.305488
49,e_cristata,-38.26404,-12.639773
50,e_cristata,-55.77834,-10.907346
51,e_cristata,-35.22833,-5.851815
52,e_cristata,-61.758163,3.762085
53,e_cristata,-61.414875,4.589865
54,e_cristata,-53.358574,-17.632072
55,e_cristata,-43.40327,-4.753434
56,e_cristata,-38.806126,-3.615887
57,e_cristata,-40.584393,-10.875644
58,e_cristata,-66.747154,10.614571
59,e_cristata,-54.99011,-8.198893
60,e_cristata,-44.981182,-6.731566
61,e_cristata,-47.46899,-7.335032
62,e_cristata,-55.169823,5.452215
63,e_cristata,-59.309658,-13.378303
64,e_cristata,-60.802174,2.542017
65,e_cristata,-63.74377,-8.12912
66,e_cristata,-62.0359,-13.6223
67,e_cristata,-54.724598,-15.093506
68,e_cristata,-54.808792,-22.204367
69,e_cristata,-53.94258,-15.055516
70,e_cristata,-35.8741,-9.2162
71,t_sayaca,-35.9334,-9.3001
72,t_sayaca,-58.209042,-31.867094
73,t_sayaca,-57.196042,-28.545957
74,t_sayaca,-38.540039,-3.770393
75,t_sayaca,-47.849007,-24.31426
76,t_sayaca,-53.8018,-26.5723
77,t_sayaca,-42.3662,-22.3926
78,t_sayaca,-40.1238,-14.4213
79,t_sayaca,-45.412502,-23.761309
80,t_sayaca,-56.6167,-16.3834
81,t_sayaca,-41.38884,-12.541917
82,t_sayaca,-44.157038,-18.805363
83,t_sayaca,-40.533333,-20.1
84,t_sayaca,-59.25,-27.383333
85,t_sayaca,-49.266793,-16.701028
86,t_sayaca,-65.3,-24.183333
87,t_sayaca,-55.654,-28.173
88,t_sayaca,-49.749999,-15.820989
89,t_sayaca,-43.65,-10.72
90,t_sayaca,-51.4833,-21.1
91,t_sayaca,-36.13,-9.92
92,t_sayaca,-48.9,-13.62
93,t_sayaca,-59.916667,-22
94,t_sayaca,-54.633333,-16.466667
95,t_sayaca,-56.183333,-15.516667
96,t_sayaca,-55.75,-15.433333
97,t_sayaca,-38.50502,-12.967758
98,t_sayaca,-51.052979,-27.117017
99,t_sayaca,-54.616667,-20.45
100,t_sayaca,-48.833333,-26.3
101,t_sayaca,-54.033203,-12.499641
102,t_sayaca,-69.4,-14.95
103,s_ruficapillus,-49.3608,-24.1086
104,s_ruficapillus,-43.6189,-19.3481
105,s_ruficapillus,-46.4834,-20.3501
106,s_ruficapillus,-46.36583,-20.24528
107,s_ruficapillus,-44.57,-22.5
108,s_ruficapillus,-42.98,-22.43
109,s_ruficapillus,-42.5,-20
110,p_robustus,-49,-16
111,p_robustus,-41.483333,-13.6
112,p_robustus,-47.566667,-15.283333
113,p_robustus,-55.438333,-9.675556
114,p_robustus,-48.4194445,-14.3583333
115,p_robustus,-47.433333,-14.116666
116,p_robustus,-43.957778,-20.283333
117,p_robustus,-45.015833,-13.541667
118,p_robustus,-50.629167,-16.989722
119,p_robustus,-51.86666,-12.9
120,p_robustus,-52.8731,-10.8339
121,p_robustus,-37.83694,-12.22611
122,p_robustus,-42.888611,-16.742778
123,p_robustus,-47.702222,-11.685556
124,p_robustus,-56.27,-14.2
125,p_robustus,-46.739167,-8.622222
126,p_robustus,-45.07,-7.38
127,p_robustus,-47.142,-22.242
128,p_robustus,-40.617778,-19.931111
129,p_robustus,-52.333333,-14.733333
130,p_robustus,-56.45,-14.41
131,p_robustus,-47.9893,-16.4716
132,p_robustus,-34.978056,-6.458333
133,p_robustus,-37.438056,-11.268611
134,p_robustus,-38.5,-12.966667
135,p_robustus,-42.225278,-9.655556
136,p_robustus,-48.091111,-8.744444
137,p_robustus,-46.565278,-11.818611
138,p_robustus,-51.995278,-18.439444
139,p_robustus,-47.606903,-16.768171
140,p_robustus,-44.166667,-21.083333
141,p_robustus,-42.545277,-15.0625
142,p_robustus,-46.496389,-19.580833
143,p_robustus,-43.025277,-16.341666
144,p_robustus,-53.94,-15.64
145,p_robustus,-41.15,-11.55
146,p_robustus,-42.05,-22
147,p_robustus,-47.381388,-6.946667
148,p_robustus,-53.7375,-18.27
149,p_robustus,-48.261566,-18.911483
150,p_robustus,-41.45,-3.500556
151,p_robustus,-43.488889,-9.221667
152,p_robustus,-50.670556,-11.6725
153,p_robustus,-47.733333,-20.8
154,p_robustus,-54.899167,-2.537778
155,p_robustus,-60.396111,-12.550833
156,q_dichotoma,-42.422222,-15.350277
157,q_dichotoma,-41.828056,-13.597778
158,q_dichotoma,-48.9604,-22.3233
159,q_dichotoma,-48.95917,-15.8525
160,q_dichotoma,-49.9739,-21.0014
161,q_dichotoma,-42.525,-14.451389
162,q_dichotoma,-48.5184,-23.353
163,q_dichotoma,-47.610278,-14.174444
164,q_dichotoma,-41.45,-12.46
165,q_dichotoma,-52.8731,-10.8339
166,q_dichotoma,-43.983611,-20.168611
167,q_dichotoma,-47.6,-21.633333
168,q_dichotoma,-46.86666,-17.03333
169,q_dichotoma,-42.933,-16.617
170,q_dichotoma,-43.933333,-18.191944
171,q_dichotoma,-41.908333,-16.129444
172,q_dichotoma,-45.933333,-23.066667
173,q_dichotoma,-46.4225,-19.684722
174,q_dichotoma,-48.163056,-15.510833
175,q_dichotoma,-48.5,-17.967
176,q_dichotoma,-56.09667,-15.59611
177,q_dichotoma,-43.80639,-20.95361
178,q_dichotoma,-48.333333,-13.833333
179,q_dichotoma,-61.12833,-15.01027
180,q_dichotoma,-50.9788,-22.3714
181,q_dichotoma,-40.308056,-10.513611
182,q_dichotoma,-50.0848,-17.6874
183,q_dichotoma,-57.202056,-15.631611
184,q_dichotoma,-55.920275,-12.988422
185,q_dichotoma,-52.37,-9.717778
186,q_dichotoma,-50.976944,-11.575278
187,q_dichotoma,-48.9603,-20.6369
188,q_dichotoma,-40.83917,-14.86611
189,q_dichotoma,-59.68333,-18.33333
190,q_grandiflora,-46.552778,-21.144278
191,q_grandiflora,-41.87138889,-13.49388889
192,q_grandiflora,-40.988306,-3.655278
193,q_grandiflora,-44.5833333,-13.4
194,q_grandiflora,-59.68,-18.33
195,q_grandiflora,-48.7431,-22.8139
196,q_grandiflora,-44.9901,-12.1528
197,q_grandiflora,-49.500278,-20.288333
198,q_grandiflora,-70.25,-12
199,q_grandiflora,-55.4,-14.316667
200,q_grandiflora,-51.37,-12.9
201,q_grandiflora,-57.201583,-15.631722
202,q_grandiflora,-57.6181,-22.6192
203,q_grandiflora,-44.284556,-17.693611
204,q_grandiflora,-52.333333,-14.75
205,q_grandiflora,-56.054131,-22.905608
206,q_grandiflora,-60.353889,-13.7325
207,q_grandiflora,-46.695833,-23.355944
208,q_grandiflora,-49.270833,-12.251667
209,q_grandiflora,-50.988611,-15.988333
210,q_grandiflora,-43.961111,-12.019444
211,q_grandiflora,-56.675833,-20.920833
212,q_grandiflora,-48.091111,-8.744444
213,q_grandiflora,-60.8414,-14.5792
214,q_grandiflora,-61.43333,-15.83333
215,q_grandiflora,-57.5405555,-22.2658333
216,q_grandiflora,-46.947222,-6.344722
217,q_grandiflora,-63.166667,-7.516667
218,q_grandiflora,-74.14,-9.1839
219,q_grandiflora,-54.95,-2.483333
220,q_grandiflora,-48.667222,-17.776667
221,q_grandiflora,-43.616389,-19.354722
222,q_grandiflora,-67.25,-12.16666
223,q_grandiflora,-55.22,-9.62
224,q_grandiflora,-48.08,-5.83
225,q_grandiflora,-52.18875,-21.769583
226,q_grandiflora,-48.382778,-14.061111
227,q_grandiflora,-67.624444,-10.073611
228,q_grandiflora,-47.01,-9.28
229,q_grandiflora,-47.4042,-20.0983
230,q_grandiflora,-44.91,-5.52
231,q_grandiflora,-47.82,-2.08
232,q_grandiflora,-48.919319,-6.287361
233,q_grandiflora,-51.462222,-18.179167
234,q_grandiflora,-44.15,-6.639167
235,q_grandiflora,-71.41666,-11.83333
236,q_grandiflora,-68.7639444,-14.5820278
237,q_grandiflora,-40.88333,-2.93333
238,q_grandiflora,-48.2772,-18.9186
239,q_grandiflora,-64.435,-16.7261
240,q_grandiflora,-56.183333,-12.366667
241,q_grandiflora,-57.671683,-16.705139
242,q_grandiflora,-52.3166667,-10.0666667
243,q_grandiflora,-57.49,-17.99
244,q_grandiflora,-67.25,-13.08333
245,q_grandiflora,-42.966667,-16.6
246,q_grandiflora,-60.124444,-12.711111
