"","spp","lat","lon","species_original"
"1","Tersina viridis",-22.3926,-42.3662,"Tersina viridis viridis (Illiger, 1811)"
"2","Tersina viridis",-22.3553,-44.7877,"Tersina viridis viridis (Illiger, 1811)"
"3","Tersina viridis",-26.5723,-53.8018,"Tersina viridis viridis (Illiger, 1811)"
"4","Tersina viridis",-26.5723,-53.8018,"Tersina viridis viridis (Illiger, 1811)"
"5","Tersina viridis",-25.688,-54.451,"Tersina viridis viridis (Illiger, 1811)"
"6","Tersina viridis",-9.5981,-55.932,"Tersina viridis viridis (Illiger, 1811)"
"7","Tersina viridis",-14.3834,-40.1001,"Tersina viridis viridis (Illiger, 1811)"
"8","Tersina viridis",-20.309,-46.5234,"Tersina viridis viridis (Illiger, 1811)"
"9","Tersina viridis",-18.82,-63.78,"Tersina viridis viridis (Illiger, 1811)"
"10","Tersina viridis",-27.178924,-55.769785,"Tersina viridis viridis (Illiger, 1811)"
"11","Tersina viridis",-27.178924,-55.769785,"Tersina viridis viridis (Illiger, 1811)"
"12","Tersina viridis",-27.178924,-55.769785,"Tersina viridis viridis (Illiger, 1811)"
"13","Tersina viridis",-27.178924,-55.769785,"Tersina viridis viridis (Illiger, 1811)"
"14","Tersina viridis",-27.178924,-55.769785,"Tersina viridis viridis (Illiger, 1811)"
"15","Tersina viridis",-27.178924,-55.769785,"Tersina viridis viridis (Illiger, 1811)"
"16","Tersina viridis",-18.4,-59.6,"Tersina viridis viridis (Illiger, 1811)"
"17","Tersina viridis",-24.716667,-47.55,"Tersina viridis viridis (Illiger, 1811)"
"18","Tersina viridis",-24.716667,-47.55,"Tersina viridis viridis (Illiger, 1811)"
"19","Tersina viridis",-25.87,-54.52,"Tersina viridis viridis (Illiger, 1811)"
"20","Tersina viridis",-25.87,-54.52,"Tersina viridis viridis (Illiger, 1811)"
"21","Tersina viridis",-25.87,-54.52,"Tersina viridis viridis (Illiger, 1811)"
"22","Tersina viridis",-25.87,-54.52,"Tersina viridis viridis (Illiger, 1811)"
"23","Tersina viridis",-25.87,-54.52,"Tersina viridis viridis (Illiger, 1811)"
"24","Tersina viridis",-25.87,-54.52,"Tersina viridis viridis (Illiger, 1811)"
"25","Tersina viridis",-24.53,-48.1,"Tersina viridis viridis (Illiger, 1811)"
"26","Tersina viridis",-24.53,-48.1,"Tersina viridis viridis (Illiger, 1811)"
"27","Tersina viridis",-24.333333,-47.866667,"Tersina viridis viridis (Illiger, 1811)"
"28","Tersina viridis",-26.47,-53.9,"Tersina viridis viridis (Illiger, 1811)"
"29","Tersina viridis",-26.47,-53.9,"Tersina viridis viridis (Illiger, 1811)"
"30","Tersina viridis",-26.47,-53.9,"Tersina viridis viridis (Illiger, 1811)"
"31","Tersina viridis",-26.47,-53.9,"Tersina viridis viridis (Illiger, 1811)"
"32","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"33","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"34","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"35","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"36","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"37","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"38","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"39","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"40","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"41","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
